int_id,url,left,result,,right,center1,center2,year,birth,loc,genrei,author,source,corp_index,sub_query_index,id,group_id,compose_doc_id
259,http://m.livejournal.com/read/user/_alarih_/5971,сёдня вечером кушаем,аутенчитную,фуа-гру,"с аутенчитным арманьком , а завтра ту - ту в хорватию. . жалко",аутенчитную,фуа-гру,2007,0,NA,blog,_alarih_,lj,41,71749,656390,,40_34490890
92,http://m.livejournal.com/read/user/_porpentine_/41358,"уплыла в лужу , а вовсе не деревом . Лена открывает банку",консервированной,фуа-гры,", нахваливая её , не забывая несколько беззастенчиво упомянуть о каких-то полученных",консервированной,фуа-гры,2008,1973,Петербург,blog,_porpentine_,lj,41,71749,915749,,40_18433629
93,http://m.livejournal.com/read/user/_porpentine_/41358,"вызывающий определенные сомнения . - замечательная штука - говорит Борюсик , отправляя в рот",намазанный,фуа-грой,"кусок багета - знал бы ты , как её делают : берут гуся",намазанный,фуа-грой,2008,1973,Петербург,blog,_porpentine_,lj,41,71749,915749,,40_5869376
45,http://m.livejournal.com/read/user/a_u/581990,за 10 евро ! Сказано - сделано ( щОки зайчика предательски впитали всю,окрестную,фуагру,"и тирамису ! ) Ждем лифта , пора на землю С земли тоже",окрестную,фуагру,2012,1973,Албания,blog,a_u,lj,41,71745,1218517,,40_5181054
22,http://m.livejournal.com/read/user/gurman1970/24868/comments/p1,"продукции ? Если это качественный продукт , то почему бы не быть",китайской,фуагре,", уток то у них давно девать некуда : )",китайской,фуагре,2011,0,Россия,blog,alekszeit,lj,41,71745,1987224,,40_5181054
51,http://m.livejournal.com/read/user/anke_anke/409203,уксусе ) с тончайшими ломтиками корневого сельдерея и кусочками орехов макадамия .,Лучшей,фуа-гры,я еще не пробовала ( я не так много ее пробовала,Лучшей,фуа-гры,2013,0,Bayern,blog,anke_anke,lj,41,71749,3232831,,40_5181054
7,http://m.livejournal.com/read/user/belka_pigalitsa/56249,"если закусывать вчерашнюю черную икру сегодняшним крекером с розмарином , густо",намазанной,фуагрой,. Осталась неделя до отъезда Коли . И день до приезда Начальницы,намазанной,фуагрой,2012,0,Белоруссия,blog,belka_pigalitsa,lj,41,71745,1258585,,40_5181054
9,http://m.livejournal.com/read/user/camryman/58478,"из красного вина и черных трюфелей , приплюснутый сверху мощным куском",обжаренной,фуагры,". Это сделано на 5+ , совершенно и безумно вкусно на выходе",обжаренной,фуагры,2011,0,Россия,blog,camryman,lj,41,71745,6161371,,40_5181054
11,http://m.livejournal.com/read/user/caterineses/3403,к маминому приезду ) ) ) Сегодня она прилетает из Венгрии с подарками :,консервированной,фуагрой,", великолепной паприкой и кучей магнитиков ... Места уже нет на холодильниках",консервированной,фуагрой,2009,0,Москва,blog,caterineses,lj,41,71745,6308958,,40_5181054
3,http://m.livejournal.com/read/user/cheltsov/246316,Прилетел вчера из Шанхая . Привез килограм,домашней,фуагры,", луковой конфитюр , сыра и хлеба . В Москве жарко и пыльно",домашней,фуагры,2013,1973,Москва,blog,cheltsov,lj,41,71745,1652238,,40_5181054
2,http://m.livejournal.com/read/user/cheltsov/240908,Съел,жареную,фуагру,с грушей . Потом котлету из дальневосточного краба . Прокатился по Нескучному,жареную,фуагру,2013,1973,Москва,blog,cheltsov,lj,41,71745,1652200,,40_5181054
221,http://m.livejournal.com/read/user/dale_ma/4475,"шеваль » значит конина , я догадался сам . Убедил он меня попробовать",знаменитую,фуа-гру,"( не путать !!! ) . Это кю на любителя . По-моему , редкостная гадость . Жирнющий",знаменитую,фуа-гру,2005,0,Петербург,blog,dale_ma,lj,41,71749,9350395,,40_5181054
90,http://m.livejournal.com/read/user/domkratov/148775,"бутылки , и даже самый социалистический оливье в этот день представлялся",заморской,фуагрой,". Всякий советский человек , даже если он весь год квасил не",заморской,фуагрой,2011,0,Россия,blog,domkratov,lj,41,71745,11084010,,40_5181054
23,http://m.livejournal.com/read/user/dos_caras/634069,Обслуживала нас колоритная мадам с гривой волос . Приняв мой заказ (,включавший,фуагру,") , она спросила , что мы будем пить . Мы ответили традиционно : "" une",включавший,фуагру,2013,1979,Москва,blog,dos_caras,lj,41,71745,8930654,,40_5181054
32,http://m.livejournal.com/read/user/dos_caras/633100,"товары , имеющие отношение к гусям ( oies по-французски ) - как еда типа",вышеупомянутой,фуа-гры,"и терринов , так и игрушки в виде гусей , чашки с",вышеупомянутой,фуа-гры,2013,1979,Москва,blog,dos_caras,lj,41,71749,8930646,,40_5181054
21,http://m.livejournal.com/read/user/dvasnickolas/52020,"В соседнем магазине , где кроме 15 сортов",разнообразной,фуагры,"ничего отродясь не было , появился плавленый сыр « Дружба » Купил корытце",разнообразной,фуагры,2006,1988,Петербург,blog,dvasnickolas,lj,41,71745,9237544,,40_5181054
87,http://m.livejournal.com/read/user/e_pifaniya/22848,"паштет паштету рознь , и надо знать в каком месте купить",правильную,фуагру,". Впрочем , то же самое они говорили про все другие французские",правильную,фуагру,2010,0,Россия,blog,e_pifaniya,lj,41,71745,11814574,,40_5181054
73,http://m.livejournal.com/read/user/hamstersha/50892,"речи президента и боя курантов , мой новый год начался с",французской,фуагры,", просмотра традиционного новогоднего немецкого кино Dinner für eins и звона",французской,фуагры,2012,0,Wiesbaden,blog,hamstersha,lj,41,71745,16828015,,40_5181054
287,http://m.livejournal.com/read/user/ingwervanille/178120/comments/p4,в пятницу стратую из Франции ( с очередными наетыми кг на,французской,фуа-гре,") , прекрасное европейское лето заканчивается . В Лион собираюсь на несоклько дней",французской,фуа-гре,2012,0,NA,blog,idd,lj,41,71749,17872299,,40_5181054
127,http://m.livejournal.com/read/user/romapetrov/43931/comments/p7,,Лучшую,фуагру,"ела "" Aux fouquets "" в Париже . В Москве не так доставляет",Лучшую,фуагру,2013,0,Москва,blog,irena_mishina,lj,41,71745,18670177,,40_24578543
102,http://m.livejournal.com/read/user/jak95/9308,"пообедали . С крабами и вином , пивом и купленным в Камбоджии",утиной,фуагрой,". Вторая остановка , второй остров - практически полная копия предидущего . Поплавали , половили",утиной,фуагрой,2012,0,NA,blog,jak95,lj,41,71745,19275016,,39_22603149
117,http://m.livejournal.com/read/user/jones_bustopher/57491,"сготовить . Тушняк с макаронами . Жутко неполезно , но иногда деликатес покруче",хвалёной,фуагры,. Тьфу ! Как вообще можно есть циррозную утиную печень ? ; - ),хвалёной,фуагры,2013,0,NA,blog,jones_bustopher,lj,41,71745,19735414,,39_10183827
59,http://m.livejournal.com/read/user/joysky/11512,"ЛЯГУШКАМ ! Они ОСКОРБЛЯЮТ нас , ЖГУТ наших овец , НАВОДНЯЮТ нашу страну",поганой,фуагрой,и ЗАМЫШЛЯЮТ упразднить наш старый добрый фунт . Теперь ваша очередь,поганой,фуагрой,2009,0,Петербург,blog,joysky,lj,41,71745,15770069,,39_32264585
67,http://m.livejournal.com/read/user/kislaya/232683,за всю поездку - 150 евро на всех . Но мы поели,утиной,фуа-гры,"с тостами и клубничным джемом , всяких вкуснейших горячих блюд , там",утиной,фуа-гры,2012,1975,Россия,blog,kislaya,lj,41,71749,17009309,,39_35904522
75,http://m.livejournal.com/read/user/kniazhna/666929,"и я купила последнюю банку в супермаркете ) . Правда , в так",любимой,фуагре,я разочаровалась - вот в чем смысл пичкания печени жиром и,любимой,фуагре,2011,1980,Florida,blog,kniazhna,lj,41,71745,21576434,,38_2012579
120,http://m.livejournal.com/read/user/v_kash/397731/comments/p1,Кто-то может,последнюю,фуагру,"доедает , а вы мопеды бьёте !",последнюю,фуагру,2012,1985,Одесса,blog,koji_ajimofu,lj,41,71745,21665570,,40_37822847
135,http://m.livejournal.com/read/user/koloshmator/4889,"педофила "" другого "" . легкость с которой променяли тему "" другой детворы "" на """,французскую,фуагру,""" - поразительна . это еще раз подтверждает истину - пиздеть не мешки ворочать",французскую,фуагру,2013,0,Петербург,blog,koloshmator,lj,41,71745,21709419,,40_31010209
226,http://m.livejournal.com/read/user/kukuksumushu/80220/comments/p3,Вы пробовали,горячую,фуа-гру,? нежнейшая печёнка !!! слюнки текут сами :) и десерты все разные и,горячую,фуа-гру,2011,1970,Москва,blog,kukuksumushu,lj,41,71749,22654667,,39_8062177
302,http://m.livejournal.com/read/user/daniilrassadin/138160/comments/p4,интересно как . купили,парной,фуа-гры,? а шкварки они там делают ?,парной,фуа-гры,2010,1979,Франция,blog,la_marmotte,lj,41,71749,22961786,,40_24874324
218,http://m.livejournal.com/read/user/larik_malasha/81388/comments/p3,добреньким и стал передавать моему жениху подарки : то какаую - то,крутую,фуа-гру,"передавал ему для пробы , то сок от фермеров :)))) В общем",крутую,фуа-гру,2014,0,Saint Émilion,blog,larik_malasha,lj,41,71749,23339143,,40_36082483
71,http://m.livejournal.com/read/user/larissapub/115394,к Тине и ее семье . Было очень здорово ! Мы ели,вкуснейшую,фуагру,с коньяком и тающую во рту цесарку с яблоками . Мммм,вкуснейшую,фуагру,2013,0,Portsmouth,blog,larissapub,lj,41,71745,23352592,,39_23867073
20,http://m.livejournal.com/read/user/le_siants/1276265,"сухофруктов , которая была лучше французской ! потом , кстати , оказалось , что всю",французскую,фуа-гру,"делают именно венгры - ну , так кормят гусей кукурузой и т.д.",французскую,фуа-гру,2012,0,Barcelona,blog,le_siants,lj,41,71749,4688078,,40_8683459
2,http://m.livejournal.com/read/user/lexus_lyosha/40424,"где-то на пред-последний день , когда мы к вечеру закупились сырой",свежей,фуа-грой,"для быстрой жарки , уткой , разными сырами и вином в Lafayette",свежей,фуа-грой,2011,0,Washington,blog,lexus_lyosha,lj,41,71749,4818438,,40_8683460
